City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Bilma,NE,18.6853,12.9164,63.05,26,100,9.44,overcast clouds
223,Codrington,AU,-38.2667,141.9667,56.59,74,67,11.65,broken clouds
224,Beaumont,US,30.0861,-94.1019,75.18,49,0,8.05,clear sky
225,Erzin,TR,36.9559,36.2,58.44,62,100,7.92,overcast clouds
226,Soyo,AO,-6.1349,12.3689,78.53,84,85,5.66,light rain
227,Beziers,FR,43.3476,3.219,50.34,87,54,3.44,broken clouds
228,Lebanon,US,36.2081,-86.2911,57.65,74,100,4.61,overcast clouds
229,Poole,GB,50.7167,-2.0,47.71,94,20,1.99,fog
230,Hamilton,US,39.1834,-84.5333,46.94,85,100,3.44,haze
231,San Carlos De Bariloche,AR,-41.1456,-71.3082,71.35,21,0,25.32,clear sky
232,Yangambi,CD,0.8102,24.4336,67.73,95,89,2.71,overcast clouds
233,Nyagan,RU,62.1406,65.3936,6.04,89,100,4.65,overcast clouds
234,Gao,ML,16.6362,1.637,75.18,16,100,8.88,overcast clouds
235,Portland,US,45.5234,-122.6762,46.53,79,75,8.01,broken clouds
236,Beringovskiy,RU,63.05,179.3167,30.81,97,100,27.87,snow
237,Ekibastuz,KZ,51.6667,75.3667,-15.36,91,8,6.82,clear sky
238,Saint-Francois,FR,46.4154,3.9054,44.04,87,75,4.61,broken clouds
239,Kabalo,CD,-6.05,26.9167,69.66,97,96,2.37,light rain
240,Kholodnyy,RU,62.7167,147.95,-10.93,97,100,5.03,overcast clouds
241,Vardo,NO,70.3705,31.1107,33.78,80,75,13.8,broken clouds
242,Pacific Grove,US,36.6177,-121.9166,63.39,80,0,13.0,clear sky
243,Saryozek,KZ,44.3583,77.9753,14.32,71,100,4.34,overcast clouds
244,Chippewa Falls,US,44.9369,-91.3929,40.96,56,0,9.22,clear sky
245,Ostrovnoy,RU,68.0531,39.5131,30.42,87,100,8.93,overcast clouds
246,Maraba,BR,-5.3686,-49.1178,75.38,100,75,2.3,light rain
247,La Ronge,CA,55.1001,-105.2842,19.62,79,100,13.8,light snow
248,Namibe,AO,-15.1961,12.1522,70.29,84,100,6.55,overcast clouds
249,Vangaindrano,MG,-23.35,47.6,71.17,89,43,5.26,scattered clouds
250,Poum,NC,-20.2333,164.0167,81.46,79,43,17.36,scattered clouds
251,Sinnamary,GF,5.3833,-52.95,77.14,87,99,6.91,overcast clouds
252,Niquero,CU,20.0431,-77.5828,80.89,72,21,3.83,few clouds
253,Cherskiy,RU,68.75,161.3,2.53,96,100,6.93,light snow
254,Manggar,ID,-2.8833,108.2667,77.49,86,90,4.03,overcast clouds
255,Wana,PK,32.2989,69.5725,51.96,34,0,2.62,clear sky
256,Norfolk,US,42.1668,-71.2495,47.3,67,16,3.0,few clouds
257,Saint-Pierre,RE,-21.3393,55.4781,71.91,68,0,3.44,clear sky
258,Kidal,ML,18.4411,1.4078,73.8,23,99,9.64,overcast clouds
259,Conakry,GN,9.538,-13.6773,80.96,64,74,6.15,broken clouds
260,Broken Hill,AU,-31.95,141.4333,58.57,58,0,18.07,clear sky
261,Luau,AO,-10.7073,22.2247,62.6,97,100,0.49,overcast clouds
262,Turukhansk,RU,65.8167,87.9833,-4.07,98,100,7.36,overcast clouds
263,Santa Rosalia,MX,27.3167,-112.2833,73.45,30,9,0.4,clear sky
264,Ketchikan,US,55.3422,-131.6461,34.27,80,100,0.0,overcast clouds
265,Sarankhola,BD,22.3082,89.7897,72.99,51,97,4.52,overcast clouds
266,San Andres,CO,12.5847,-81.7006,84.22,74,40,14.97,scattered clouds
267,Hingoli,IN,19.7167,77.15,62.58,46,0,4.34,clear sky
268,Angoram,PG,-4.0625,144.0661,77.34,95,91,1.01,moderate rain
269,Yerbogachen,RU,61.2767,108.0108,-13.58,100,100,0.89,overcast clouds
270,Byron Bay,AU,-28.65,153.6167,74.95,87,100,7.76,light rain
271,Mogos,PT,38.877,-9.0946,56.01,80,0,6.91,clear sky
272,Vitoria Do Mearim,BR,-3.4622,-44.8706,76.06,89,100,2.86,overcast clouds
273,Shetpe,KZ,44.1667,52.1167,33.85,67,89,4.14,overcast clouds
274,Hervey Bay,AU,-25.2986,152.8535,74.32,82,100,5.86,overcast clouds
275,Antalaha,MG,-14.9003,50.2788,70.27,87,42,4.92,scattered clouds
276,Nuevo Progreso,MX,23.1667,-97.95,78.48,73,42,7.7,scattered clouds
277,Pangkalanbuun,ID,-2.6833,111.6167,73.24,97,87,2.48,overcast clouds
278,Podujevo,XK,42.9106,21.1931,34.75,93,26,3.13,scattered clouds
279,Abu Kamal,SY,34.4506,40.9171,60.31,46,87,5.7,overcast clouds
280,Leningradskiy,RU,69.3833,178.4167,-4.68,88,52,4.27,broken clouds
281,Lata,PT,40.1629,-8.3327,47.07,93,17,1.99,few clouds
282,Ancud,CL,-41.8697,-73.8203,59.94,74,50,10.85,scattered clouds
283,Half Moon Bay,US,37.4636,-122.4286,62.58,57,0,21.85,clear sky
284,Telenesti,MD,47.4997,28.3656,36.48,98,100,2.08,overcast clouds
285,Brae,GB,60.3964,-1.353,47.19,83,17,9.82,few clouds
286,Korla,CN,41.7597,86.1469,14.68,32,54,19.33,broken clouds
287,Hofn,IS,64.2539,-15.2082,36.43,83,86,8.32,overcast clouds
288,Hanyang,CN,32.1371,105.5126,44.29,53,85,7.29,overcast clouds
289,Ustek,CZ,50.5847,14.3433,40.77,85,100,7.38,overcast clouds
290,Cidreira,BR,-30.1811,-50.2056,69.76,87,8,17.22,clear sky
291,Cabra,ES,37.4725,-4.4421,47.77,58,8,2.08,clear sky
292,Dakar,SN,14.6937,-17.4441,74.28,67,52,15.46,broken clouds
293,Mayo,US,38.8876,-76.5119,52.21,61,100,11.5,overcast clouds
294,Grand-Santi,GF,4.25,-54.3833,74.73,97,99,2.37,overcast clouds
295,Lazaro Cardenas,MX,17.9583,-102.2,82.0,68,82,7.56,broken clouds
296,Aksu,CN,41.1231,80.2644,18.57,29,63,6.08,broken clouds
297,Bam,IR,29.106,58.357,60.49,21,0,3.69,clear sky
298,Nemuro,JP,43.3236,145.575,47.75,85,100,19.89,moderate rain
299,Athabasca,CA,54.7169,-113.2854,10.81,73,100,15.75,overcast clouds
300,Shahr-E Babak,IR,30.1165,55.1186,49.39,35,4,5.37,clear sky
301,Totness,SR,5.8833,-56.3167,78.03,85,65,9.64,broken clouds
302,Moussoro,TD,13.6408,16.4901,72.79,18,29,9.64,scattered clouds
303,Pisco,PE,-13.7,-76.2167,71.65,68,100,12.66,overcast clouds
304,Sistranda,NO,63.7256,8.834,44.56,70,100,7.76,overcast clouds
305,Huarmey,PE,-10.0681,-78.1522,70.07,76,39,7.07,scattered clouds
306,Coquimbo,CL,-29.9533,-71.3436,62.33,82,75,9.22,broken clouds
307,Shipunovo,RU,52.1582,82.2173,-20.79,99,24,2.44,few clouds
308,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,5.75,broken clouds
309,Jumla,NP,29.2747,82.1838,41.99,46,0,5.1,clear sky
310,Yakeshi,CN,49.2833,120.7333,-3.01,95,100,12.53,overcast clouds
311,Kalianget,ID,-7.05,113.9333,79.59,82,99,4.16,overcast clouds
312,Aleksandrov Gay,RU,50.147,48.5704,23.32,57,0,11.56,clear sky
313,Umaria,IN,23.5333,80.8333,53.6,60,0,1.54,clear sky
314,Otane,NZ,-39.8833,176.6333,66.0,48,89,2.15,overcast clouds
315,Ruwi,OM,23.5996,58.5507,74.89,59,0,2.62,clear sky
316,Acopiara,BR,-6.0953,-39.4525,80.42,49,43,3.04,scattered clouds
317,Taybad,IR,34.74,60.7756,48.15,63,57,8.93,broken clouds
318,Livingston,GB,55.9029,-3.5226,41.11,97,6,4.61,fog
319,Kenai,US,60.5544,-151.2583,5.09,85,0,3.44,clear sky
320,Kiama,AU,-34.6833,150.8667,68.45,53,17,9.37,few clouds
321,Nyurba,RU,63.2842,118.3319,-33.03,100,46,4.16,scattered clouds
322,Skibbereen,IE,51.55,-9.2667,49.1,81,95,3.36,overcast clouds
323,Puerto Gaitan,CO,4.3133,-72.0816,80.64,78,89,6.85,overcast clouds
324,Henties Bay,NA,-22.116,14.2845,59.83,80,3,4.07,clear sky
325,Hay River,CA,60.8156,-115.7999,-5.64,96,100,11.99,overcast clouds
326,Okhotsk,RU,59.3833,143.3,-1.89,88,97,16.87,overcast clouds
327,Iqaluit,CA,63.7506,-68.5145,-4.27,83,100,45.99,light snow
328,Coruripe,BR,-10.1256,-36.1756,78.35,81,65,16.64,broken clouds
329,Lebedinyy,RU,58.5167,125.5167,-21.84,100,100,3.53,overcast clouds
330,Port Lincoln,AU,-34.7333,135.8667,59.65,65,60,6.8,broken clouds
331,Kalabo,ZM,-14.97,22.6814,68.68,82,45,4.68,scattered clouds
332,Kisangani,CD,0.5167,25.2,65.75,94,88,2.53,overcast clouds
333,Bandarbeyla,SO,9.4942,50.8122,77.32,70,50,15.35,scattered clouds
334,Dalvik,IS,65.9702,-18.5286,32.58,68,11,10.42,few clouds
335,Maceio,BR,-9.6658,-35.7353,78.24,83,0,10.36,clear sky
336,Garmsar,IR,35.2182,52.3409,53.83,46,77,4.32,broken clouds
337,Pinawa,CA,50.1489,-95.8811,30.54,92,100,9.73,light snow
338,Yar-Sale,RU,66.8333,70.8333,12.13,96,100,3.98,overcast clouds
339,Dawei,MM,14.0833,98.2,74.23,93,72,2.91,broken clouds
340,Mahebourg,MU,-20.4081,57.7,73.69,88,40,4.61,scattered clouds
341,Youghal,IE,51.95,-7.8506,47.41,89,60,7.61,broken clouds
342,Nelson Bay,AU,-32.7167,152.15,72.0,77,9,8.99,clear sky
343,Arman,RU,59.7,150.1667,10.02,97,100,15.84,light snow
344,Chor,PK,25.5167,69.7667,67.12,19,5,7.78,clear sky
345,West Carrollton City,US,39.6723,-84.2522,46.15,87,100,0.0,overcast clouds
346,Biak,ID,-0.9131,122.8766,76.59,77,64,2.59,broken clouds
